N_Plant,N_Flower,N_Animal,N_Water,N_Terrain,N_Color,N_Weather,F_active,F_recreation,F_cultural,F_stationary,F_catering,F_Transport,F_service,F_path,F_Sign,F_lights,Act_active,Act_stationary,Act_light,P_Tactile,P_Sound,P_Olf,P_Crowd,,,,,,,,
rhizome,,lobster,,,,,,picnicked,,,,,,,,,pulling,,,,musicians,,,,,,,,,,
root,,boa,,,,,,picnickers,,,,,,,,,pulls,,,,mute,,,,,,,,,,
rootstock,,pythons,,,,,,picnicking,,,,,,,,,pullup,,,,mutter,,,,,,,,,,
rosemary,,collie,,,,,,picnicking,,,,,,,,,pushbikes,,,,natter,,,,,,,,,,
rosemary,,lobsters,,,,,,picnics,,,,,,,,,qigong,,,,neigh,,,,,,,,,,
sapling,,organism,,,,,,theatre,,,,,,,,,race,,,,noise,,,,,,,,,,
saplings,,goldfish,,,,,,theater,,,,,,,,,raced,,,,noiseless,,,,,,,,,,
sciophyte,,monster,,,,,,cinema,,,,,,,,,racer,,,,noises,,,,,,,,,,
seagrass,,colugos,,,,,,,,,,,,,,,racers,,,,noisey,,,,,,,,,,
seaplant,,meat,,,,,,,,,,,,,,,races,,,,noisier,,,,,,,,,,
seaweeds,,kou,,,,,,,,,,,,,,,racing,,,,noisily,,,,,,,,,,
seedling,,corals,,,,,,,,,,,,,,,racquet,,,,noisy,,,,,,,,,,
seedlings,,chipmunks,,,,,,,,,,,,,,,rafting,,,,operas,,,,,,,,,,
seedplant,,pigeon,,,,,,,,,,,,,,,rafting,,,,orchestra,,,,,,,,,,
seedweed,,gecko,,,,,,,,,,,,,,,ran,,,,orchestral,,,,,,,,,,
sepal,,myna,,,,,,,,,,,,,,,regatta,,,,orchestras,,,,,,,,,,
shadeplant,,rufous,,,,,,,,,,,,,,,ridden,,,,peaceful,,,,,,,,,,
shrub,,corgi,,,,,,,,,,,,,,,ride,,,,peacefully,,,,,,,,,,
shrubberies,,parasite,,,,,,,,,,,,,,,rider,,,,peal,,,,,,,,,,
shrubbery,,dodol,,,,,,,,,,,,,,,riders,,,,percussion,,,,,,,,,,
shrubs,,coral,,,,,,,,,,,,,,,rides,,,,performaces,,,,,,,,,,
sod,,fishery,,,,,,,,,,,,,,,riding,,,,performance,,,,,,,,,,
spermaphyte,,bacteria,,,,,,,,,,,,,,,rise,,,,performances,,,,,,,,,,
spinach,,cobra,,,,,,,,,,,,,,,risen,,,,philharmonic,,,,,,,,,,
spore,,macaw,,,,,,,,,,,,,,,rising,,,,phonate,,,,,,,,,,
spores,,langurs,,,,,,,,,,,,,,,rode,,,,pianist,,,,,,,,,,
sprig,,moths,,,,,,,,,,,,,,,rollerblade,,,,piano,,,,,,,,,,
sprout,,cows,,,,,,,,,,,,,,,rollerbladers,,,,placid,,,,,,,,,,
sprouting,,crab,,,,,,,,,,,,,,,rollerblades,,,,plonk,,,,,,,,,,
sprouts,,crabs,,,,,,,,,,,,,,,rollerblading,,,,plop,,,,,,,,,,
stalk,,pet,,,,,,,,,,,,,,,rollerskate,,,,plopped,,,,,,,,,,
stalks,,mammals,,,,,,,,,,,,,,,rollerskates,,,,plunk,,,,,,,,,,
strawberry,,hippo,,,,,,,,,,,,,,,rowboat,,,,pounding,,,,,,,,,,
stump,,crawlies,,,,,,,,,,,,,,,rowers,,,,quack,,,,,,,,,,
stumps,,mantis,,,,,,,,,,,,,,,rowing,,,,quiet,,,,,,,,,,
succulent,,crayfish,,,,,,,,,,,,,,,run,,,,quieter,,,,,,,,,,
succulents,,creature,,,,,,,,,,,,,,,runing,,,,quietest,,,,,,,,,,
sylvan,,kangaroos,,,,,,,,,,,,,,,running,,,,quietness,,,,,,,,,,
thicket,,creatures,,,,,,,,,,,,,,,runnning,,,,quietude,,,,,,,,,,
thickets,,crickets,,,,,,,,,,,,,,,runs,,,,rang,,,,,,,,,,
timberline,,beings,,,,,,,,,,,,,,,sail,,,,raspy,,,,,,,,,,
tree,,critter,,,,,,,,,,,,,,,sailed,,,,rattle,,,,,,,,,,
treeline,,critters,,,,,,,,,,,,,,,sailing,,,,rattling,,,,,,,,,,
trees,,croc,,,,,,,,,,,,,,,sails,,,,raucous,,,,,,,,,,
trillium,,crocodile,,,,,,,,,,,,,,,salsa,,,,recital,,,,,,,,,,
trillium,,plover,,,,,,,,,,,,,,,samba,,,,recitals,,,,,,,,,,
tumeric,,crocodiles,,,,,,,,,,,,,,,sampan,,,,resound,,,,,,,,,,
turf,,mussels,,,,,,,,,,,,,,,sampans,,,,reverberate,,,,,,,,,,
turmeric,,chick,,,,,,,,,,,,,,,scamper,,,,rhythm,,,,,,,,,,
tussock,,gulls,,,,,,,,,,,,,,,scampered,,,,rhythmic,,,,,,,,,,
twig,,pangolin,,,,,,,,,,,,,,,scampered,,,,rhythms,,,,,,,,,,
twigs,,cobras,,,,,,,,,,,,,,,scampering,,,,ringing,,,,,,,,,,
underbrush,,crocodiles ,,,,,,,,,,,,,,,schooner,,,,riot,,,,,,,,,,
undergrowth,,parrots,,,,,,,,,,,,,,,scurried,,,,roar,,,,,,,,,,
understory,,crocodilian,,,,,,,,,,,,,,,scurry,,,,roared,,,,,,,,,,
vegetables,,sotong,,,,,,,,,,,,,,,scurrying,,,,roaring,,,,,,,,,,
vegetated,,langur,,,,,,,,,,,,,,,shaolin,,,,roars,,,,,,,,,,
vegetation,,rats,,,,,,,,,,,,,,,shuttlecock,,,,rowdy,,,,,,,,,,
vegetations,,kitties,,,,,,,,,,,,,,,skate,,,,ruckus,,,,,,,,,,
veggies,,heron,,,,,,,,,,,,,,,skateboard,,,,rumble,,,,,,,,,,
vine,,crocs,,,,,,,,,,,,,,,skateboarders,,,,rumbling,,,,,,,,,,
vines,,mammal,,,,,,,,,,,,,,,skateboarding,,,,rustle,,,,,,,,,,
vineyard,,monkeys,,,,,,,,,,,,,,,skateboards,,,,rustled,,,,,,,,,,
viridis,,hawks,,,,,,,,,,,,,,,skated,,,,rustles,,,,,,,,,,
waterlilies,,parrot,,,,,,,,,,,,,,,skatepark,,,,rustling,,,,,,,,,,
waterlily,,reptiliform,,,,,,,,,,,,,,,skater,,,,rustlings,,,,,,,,,,
weed,,hog,,,,,,,,,,,,,,,skaters,,,,screak,,,,,,,,,,
weeding,,insects,,,,,,,,,,,,,,,skates,,,,scream,,,,,,,,,,
weeds,,crow,,,,,,,,,,,,,,,skating,,,,screaming,,,,,,,,,,
wetland,,puppies,,,,,,,,,,,,,,,ski,,,,screams,,,,,,,,,,
wetlands,,labrador,,,,,,,,,,,,,,,skiing,,,,screech,,,,,,,,,,
wildwood,,grouper,,,,,,,,,,,,,,,slalom,,,,screeching,,,,,,,,,,
wooded,,millipede,,,,,,,,,,,,,,,slid,,,,screechy,,,,,,,,,,
woodland,,reptile,,,,,,,,,,,,,,,slide,,,,serenade,,,,,,,,,,
woodlands,,mozzies,,,,,,,,,,,,,,,sliding,,,,serenaded,,,,,,,,,,
woodplant,,groupers,,,,,,,,,,,,,,,slinks,,,,serenades,,,,,,,,,,
woods,,mosquitoe,,,,,,,,,,,,,,,slipped,,,,serene,,,,,,,,,,
woodsy,,crows,,,,,,,,,,,,,,,slipping,,,,serenity,,,,,,,,,,
woody,,lizard,,,,,,,,,,,,,,,sloop,,,,shout,,,,,,,,,,
xerophyte,,rodent,,,,,,,,,,,,,,,sloops,,,,shouted,,,,,,,,,,
yaki,,roosting,,,,,,,,,,,,,,,snorkel,,,,shouting,,,,,,,,,,
yew,,orang,,,,,,,,,,,,,,,snorkeling,,,,shouts,,,,,,,,,,
,,cryptozoa,,,,,,,,,,,,,,,soared,,,,shreech,,,,,,,,,,
,,cuckoos,,,,,,,,,,,,,,,soccer,,,,shriek,,,,,,,,,,
,,cygnets,,,,,,,,,,,,,,,softball,,,,shrieking,,,,,,,,,,
,,damselflies,,,,,,,,,,,,,,,speedboat,,,,shrill,,,,,,,,,,
,,deer,,,,,,,,,,,,,,,sport,,,,shush,,,,,,,,,,
,,deers,,,,,,,,,,,,,,,sporting,,,,sibilance,,,,,,,,,,
,,dino,,,,,,,,,,,,,,,sports,,,,sibilancy,,,,,,,,,,
,,dinos,,,,,,,,,,,,,,,sprint,,,,silence,,,,,,,,,,
,,scallops,,,,,,,,,,,,,,,sprinting,,,,silent,,,,,,,,,,
,,horse,,,,,,,,,,,,,,,sprints,,,,sing,,,,,,,,,,
,,pup,,,,,,,,,,,,,,,squash,,,,singer,,,,,,,,,,
,,jellyfish,,,,,,,,,,,,,,,squat,,,,singers,,,,,,,,,,
,,moorhen,,,,,,,,,,,,,,,squats,,,,singing,,,,,,,,,,
,,iguanas,,,,,,,,,,,,,,,strutted,,,,sings,,,,,,,,,,
,,mollusca,,,,,,,,,,,,,,,strutting,,,,siren,,,,,,,,,,
,,rhinos,,,,,,,,,,,,,,,surf,,,,sizzle,,,,,,,,,,
,,frogs,,,,,,,,,,,,,,,surfboards,,,,sizzles,,,,,,,,,,
,,hornet,,,,,,,,,,,,,,,surfed,,,,sizzling,,,,,,,,,,
,,lemur,,,,,,,,,,,,,,,surfer,,,,slient,,,,,,,,,,
,,pullus,,,,,,,,,,,,,,,surfers,,,,smackingly,,,,,,,,,,
,,dinosaur,,,,,,,,,,,,,,,surfing,,,,snarl,,,,,,,,,,
,,dinosaurs,,,,,,,,,,,,,,,surfs,,,,sneering,,,,,,,,,,
,,doe,,,,,,,,,,,,,,,swam,,,,snort,,,,,,,,,,
,,dog,,,,,,,,,,,,,,,swim,,,,solitude,,,,,,,,,,
,,doggie,,,,,,,,,,,,,,,swimmer,,,,soloists,,,,,,,,,,
,,doggies,,,,,,,,,,,,,,,swimmers,,,,solos,,,,,,,,,,
,,penguin,,,,,,,,,,,,,,,swimming,,,,song,,,,,,,,,,
,,hedgehog,,,,,,,,,,,,,,,swims,,,,songs,,,,,,,,,,
,,ponies,,,,,,,,,,,,,,,taekwondo,,,,sound,,,,,,,,,,
,,scorpion,,,,,,,,,,,,,,,taichi,,,,sounded,,,,,,,,,,
,,bunnies,,,,,,,,,,,,,,,taiji,,,,sounding,,,,,,,,,,
,,doggy,,,,,,,,,,,,,,,taijiquan,,,,soundless,,,,,,,,,,
,,predator,,,,,,,,,,,,,,,takraw,,,,sounds,,,,,,,,,,
,,pheasant,,,,,,,,,,,,,,,tennis,,,,speak,,,,,,,,,,
,,quail,,,,,,,,,,,,,,,training ,,,,speaking,,,,,,,,,,
,,dogs,,,,,,,,,,,,,,,traipse,,,,speaks,,,,,,,,,,
,,dolphin,,,,,,,,,,,,,,,traipsing,,,,splash,,,,,,,,,,
,,dolphins,,,,,,,,,,,,,,,trampoline,,,,splashes,,,,,,,,,,
,,donkey,,,,,,,,,,,,,,,trampolines,,,,splat,,,,,,,,,,
,,hummingbird,,,,,,,,,,,,,,,treadmill,,,,spoken,,,,,,,,,,
,,doves,,,,,,,,,,,,,,,trek,,,,squawking,,,,,,,,,,
,,reptiles,,,,,,,,,,,,,,,treking,,,,squeaky,,,,,,,,,,
,,dragonflies,,,,,,,,,,,,,,,trekked,,,,squeal,,,,,,,,,,
,,dragonfly,,,,,,,,,,,,,,,trekker,,,,squealing,,,,,,,,,,
,,goose,,,,,,,,,,,,,,,trekkers,,,,squeals,,,,,,,,,,
,,lion,,,,,,,,,,,,,,,trekking,,,,stared,,,,,,,,,,
,,huskies,,,,,,,,,,,,,,,treks,,,,stridulate,,,,,,,,,,
,,retriever,,,,,,,,,,,,,,,triathlon,,,,swish,,,,,,,,,,
,,nightjar,,,,,,,,,,,,,,,tricycles,,,,swoosh,,,,,,,,,,
,,rat,,,,,,,,,,,,,,,trike,,,,symphonic,,,,,,,,,,
,,duck,,,,,,,,,,,,,,,trikes,,,,symphonies,,,,,,,,,,
,,hen,,,,,,,,,,,,,,,tromping,,,,symphony,,,,,,,,,,
,,planktons,,,,,,,,,,,,,,,trotted,,,,talk,,,,,,,,,,
,,raptor,,,,,,,,,,,,,,,trotted,,,,talked,,,,,,,,,,
,,ducklings,,,,,,,,,,,,,,,trudge,,,,talking,,,,,,,,,,
,,grouse,,,,,,,,,,,,,,,trudging,,,,taunt,,,,,,,,,,
,,peacock,,,,,,,,,,,,,,,trundle,,,,teased,,,,,,,,,,
,,ducks,,,,,,,,,,,,,,,tumbles,,,,teasing,,,,,,,,,,
,,eagle,,,,,,,,,,,,,,,unicycles,,,,thud,,,,,,,,,,
,,eagles,,,,,,,,,,,,,,,ventured,,,,thump,,,,,,,,,,
,,earthworms,,,,,,,,,,,,,,,volleyball,,,,thumping,,,,,,,,,,
,,poultry,,,,,,,,,,,,,,,volleyballs,,,,thumps,,,,,,,,,,
,,echidna,,,,,,,,,,,,,,,vollyball,,,,thunder,,,,,,,,,,
,,hawk,,,,,,,,,,,,,,,wakeboard,,,,thunderous,,,,,,,,,,
,,koel,,,,,,,,,,,,,,,wakeboarders,,,,thunders,,,,,,,,,,
,,marsupial,,,,,,,,,,,,,,,wakeboarding,,,,thunk,,,,,,,,,,
,,panda,,,,,,,,,,,,,,,wakeboards,,,,tinkle,,,,,,,,,,
,,eel,,,,,,,,,,,,,,,walk,,,,tones ,,,,,,,,,,
,,hives,,,,,,,,,,,,,,,walked,,,,toot,,,,,,,,,,
,,eels,,,,,,,,,,,,,,,walkers,,,,tootle,,,,,,,,,,
,,egret,,,,,,,,,,,,,,,walking,,,,tranquil,,,,,,,,,,
,,egrets,,,,,,,,,,,,,,,walks,,,,tranquility,,,,,,,,,,
,,egrets ,,,,,,,,,,,,,,,waterski,,,,trill,,,,,,,,,,
,,elephant,,,,,,,,,,,,,,,waterskiing,,,,trilling,,,,,,,,,,
,,elephants,,,,,,,,,,,,,,,watersport,,,,trumpet,,,,,,,,,,
,,elk,,,,,,,,,,,,,,,watersports,,,,tunes,,,,,,,,,,
,,emu,,,,,,,,,,,,,,,wheelers,,,,vocals,,,,,,,,,,
,,koalas,,,,,,,,,,,,,,,windsurf,,,,vociferous,,,,,,,,,,
,,hummingbirds,,,,,,,,,,,,,,,windsurfers,,,,voice,,,,,,,,,,
,,sharks,,,,,,,,,,,,,,,windsurfing,,,,voiceless,,,,,,,,,,
,,puppy,,,,,,,,,,,,,,,woodball,,,,voices,,,,,,,,,,
,,grebe,,,,,,,,,,,,,,,workout,,,,wail,,,,,,,,,,
,,litters,,,,,,,,,,,,,,,workouts,,,,warble,,,,,,,,,,
,,lions,,,,,,,,,,,,,,,wrestling,,,,weeping,,,,,,,,,,
,,pigs,,,,,,,,,,,,,,,wushu,,,,welcomed,,,,,,,,,,
,,epifauna,,,,,,,,,,,,,,,yacht,,,,whiffle,,,,,,,,,,
,,komodo,,,,,,,,,,,,,,,yachts,,,,whimper,,,,,,,,,,
,,falcons,,,,,,,,,,,,,,,yoga,,,,whine,,,,,,,,,,
,,pelagics,,,,,,,,,,,,,,,yogas,,,,whinge,,,,,,,,,,
,,fauna,,,,,,,,,,,,,,,yogi,,,,whinging,,,,,,,,,,
,,poodle,,,,,,,,,,,,,,,yogis,,,,whining,,,,,,,,,,
,,raptors,,,,,,,,,,,,,,,zumba,,,,whinny,,,,,,,,,,
,,pests,,,,,,,,,,,,,,,,,,,whir,,,,,,,,,,
,,mosquito,,,,,,,,,,,,,,,,,,,whisper,,,,,,,,,,
,,faunas,,,,,,,,,,,,,,,,,,,whispering,,,,,,,,,,
,,fawn,,,,,,,,,,,,,,,,,,,whisperless,,,,,,,,,,
,,pest,,,,,,,,,,,,,,,,,,,whispers,,,,,,,,,,
,,fish,,,,,,,,,,,,,,,,,,,whistle,,,,,,,,,,
,,fishes,,,,,,,,,,,,,,,,,,,whistling,,,,,,,,,,
,,primate,,,,,,,,,,,,,,,,,,,whizzing,,,,,,,,,,
,,kingfisher,,,,,,,,,,,,,,,,,,,whoop,,,,,,,,,,
,,millipedes,,,,,,,,,,,,,,,,,,,whooping,,,,,,,,,,
,,tzu,,,,,,,,,,,,,,,,,,,whoosh,,,,,,,,,,
,,grasshopper,,,,,,,,,,,,,,,,,,,whooshing,,,,,,,,,,
,,fishies,,,,,,,,,,,,,,,,,,,yapping,,,,,,,,,,
,,nesting,,,,,,,,,,,,,,,,,,,yell,,,,,,,,,,
,,flamingo,,,,,,,,,,,,,,,,,,,yelled,,,,,,,,,,
,,flamingoes,,,,,,,,,,,,,,,,,,,yelling,,,,,,,,,,
,,monkey,,,,,,,,,,,,,,,,,,,yelp,,,,,,,,,,
,,flamingos,,,,,,,,,,,,,,,,,,,yowl,,,,,,,,,,
,,guan,,,,,,,,,,,,,,,,,,,peacefulness,,,,,,,,,,
,,lories,,,,,,,,,,,,,,,,,,,sizzles,,,,,,,,,,
,,herbivore,,,,,,,,,,,,,,,,,,,scratchy,,,,,,,,,,
,,hooves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,omnivores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,oysters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fleas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,reptilia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,pups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sandpiper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,reptilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sandflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fowls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,foxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,frog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,macaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sheep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sheeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shellfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shorebird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shorebirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shrimps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,skinks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,skippers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,skunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,smelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,snail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,snails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,snake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,snakehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,snakeheads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,snakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,songbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sparrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sparrowhawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sparrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,squid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,squirrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,squirrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,starfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,starling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stingray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,stingrays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,storks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sunbird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sunbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,swans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tadpoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,termite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,termites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,terrapin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,terrapins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,thrushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tigers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tilapia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,toad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tortoise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tortoises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,toucan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,trevally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,turnstones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,turtles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,veery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,velociraptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,vermin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,vertebrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,viper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wallabies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wasps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,waterbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,waterfowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,whale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,whales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wheatear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,whimbrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wildife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wolves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wombats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,woodpecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,woodpeckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,zoos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fungi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ladyfinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,saya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jackfruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,muri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,nest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,satays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,bulbuls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
